date,year,price,returns
729466,1997,795.710022,0.00319727248856161
729467,1997,789.659973,-0.00763238662100996
729468,1997,785.77002,-0.00493828468738844
729469,1997,782.650024,-0.00397852619568795
729470,1997,784.099976,0.00185090462925519
729473,1997,790.890015,0.00862237995938564
729474,1997,789.070007,-0.00230386690761542
729475,1997,790.5,0.00181061096922175
729476,1997,773.880005,-0.0212488273782911
729480,1997,757.119995,-0.0218950745252418
729481,1997,759.640015,0.00332290184624551
729482,1997,750.109985,-0.012624814146788
729483,1997,750.320007,0.000279949084584175
729484,1997,757.900024,0.010051690954394
729487,1997,762.130005,0.00556566888616583
729488,1997,766.119995,0.00522165753747217
729489,1997,760.599976,-0.00723124496794547
729490,1997,758.340027,-0.00297569444895096
729491,1997,737.650024,-0.0276623795918409
729494,1997,743.72998,0.00820854895116341
729495,1997,754.719971,0.0146687422606107
729496,1997,763.530029,0.0116056734879679
729497,1997,761.77002,-0.00230775549016116
729498,1997,766.340027,0.0059812716152603
729501,1997,760.369995,-0.00782082038344623
729502,1997,774.609985,0.0185545071809861
729503,1997,773.640015,-0.00125298902231918
729504,1997,771.179993,-0.00318486822629538
729505,1997,765.369995,-0.00756242977449073
729508,1997,772.960022,0.0098679587695063
729509,1997,794.049988,0.0269190871761449
729510,1997,801.340027,0.00913894366924151
729511,1997,798.530029,-0.0035127864028679
729512,1997,812.969971,0.0179215991156667
729515,1997,830.289978,0.0210808380328169
729516,1997,827.76001,-0.0030517414816229
729517,1997,815.619995,-0.0147747152837283
729518,1997,820.26001,0.00567282126944857
729519,1997,824.780029,0.00549534390381545
729522,1997,837.659973,0.0154955387289357
729523,1997,833.130005,-0.00542255957915927
729524,1997,836.039978,0.00348673409869349
729525,1997,841.880005,0.00696105969456262
729526,1997,829.75,-0.0145130416099759
729529,1997,833.27002,0.00423329270177586
729530,1997,841.659973,0.0100183568365795
729531,1997,839.349976,-0.0027483459635711
729532,1997,835.659973,-0.00440595468884286
729533,1997,847.030029,0.0135143479023903
729537,1997,849.710022,0.00315899330261082
729538,1997,847.210022,-0.00294651691761327
729539,1997,844.080017,-0.00370132679930535
729540,1997,848.280029,0.00496350718357963
729543,1997,846.359985,-0.00226602087255401
729544,1997,845.47998,-0.00104029352369928
729545,1997,840.109985,-0.00637167197144173
729546,1997,843.429993,0.00394408490106191
729547,1997,858.01001,0.0171388633955196
729550,1997,862.909973,0.00569460089943252
729551,1997,865.27002,0.00273125308321109
729552,1997,869.570007,0.00495722457259173
729553,1997,883.460022,0.0158471965185969
729554,1997,893.27002,0.0110428680304393
729557,1997,893.900024,0.000705029751602027
729558,1997,894.419983,0.000581505561215501
729559,1997,889.059998,-0.00601072195322416
729560,1997,897.98999,0.00999419869631435
729561,1997,898.700012,0.00079036677019495
729564,1997,878.619995,-0.0225967989377294
729565,1997,896.340027,0.0199673463255596
729566,1997,888.98999,-0.00823385979678637
729567,1997,883.679993,-0.00599097737653409
729568,1997,887.299988,0.00408813208565917
729571,1997,885.140015,-0.00243728878337013
729572,1997,891.030029,0.00663228795051207
729573,1997,904.030029,0.0144844482765683
729574,1997,916.919983,0.0141576311463174
729578,1997,912.200012,-0.00516093147453489
729579,1997,918.75,0.00715477309443635
729580,1997,907.539978,-0.0122764324657787
729581,1997,913.780029,0.00685225593742089
729582,1997,916.679993,0.00316856570632762
729585,1997,918.380005,0.00185281406404858
729586,1997,925.76001,0.00800377882064129
729587,1997,936.590027,0.0116306160142123
729588,1997,931.609985,-0.00533139253180615
729589,1997,915.299988,-0.0176623887918339
729592,1997,912.940002,-0.00258170406918445
729593,1997,933.97998,0.0227848400985149
729594,1997,936.559998,0.00275858272633389
729595,1997,940.299988,0.00398537448520386
729596,1997,938.789978,-0.00160717193146809
729599,1997,936.450012,-0.00249564559946336
729600,1997,942.289978,0.0062169164872774
729601,1997,952.289978,0.0105565276725912
729602,1997,954.309998,0.0021189770075134
729603,1997,947.140015,-0.00754163079165249
729606,1997,950.299988,0.00333077822373351
729607,1997,952.369995,0.00217589790684158
729608,1997,960.320007,0.00831296004471938
729609,1997,951.190002,-0.00955273515346455
729610,1997,933.539978,-0.0187300463990585
729613,1997,937,0.00369949424970617
729614,1997,926.530029,-0.0112368258131994
729615,1997,922.02002,-0.00487951943842369
729616,1997,924.77002,0.00297814258577578
729617,1997,900.809998,-0.0262507232256519
729620,1997,912.48999,0.0128827591865406
729621,1997,926.01001,0.0147079289894938
729622,1997,939.349976,0.0143030766407684
729623,1997,925.049988,-0.0153403440303856
729624,1997,923.539978,-0.00163368877210956
729627,1997,920.159973,-0.00366654973850977
729628,1997,913.02002,-0.00778973055731758
